#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABHD14A-ACY1	ACY1	9606.ENSP00000490744	9606.ENSP00000384296	0	0	0.047	0.987	0.067	0.900	0	0	0.903
ADA2	NT5M	9606.ENSP00000382731	9606.ENSP00000373674	0	0	0	0	0	0	0.932	0.073	0.934
CCR2	CXCR2	9606.ENSP00000292301	9606.ENSP00000319635	0	0	0	0.827	0.105	0	0.500	0.855	0.929
CCR2	CXCL8	9606.ENSP00000292301	9606.ENSP00000306512	0	0	0	0	0.060	0	0.650	0.995	0.998
CD300LF	TYROBP	9606.ENSP00000462309	9606.ENSP00000262629	0	0	0	0	0.812	0.048	0	0.598	0.922
CDH1	CDH5	9606.ENSP00000261769	9606.ENSP00000497290	0	0	0	0.732	0	0	0.540	0.969	0.985
CDH1	OCLN	9606.ENSP00000261769	9606.ENSP00000347379	0	0	0	0	0.229	0.080	0	0.992	0.993
CDH5	OCLN	9606.ENSP00000497290	9606.ENSP00000347379	0	0	0	0	0	0	0	0.980	0.980
CENPA	H4C6	9606.ENSP00000336868	9606.ENSP00000244537	0	0	0	0	0.157	0.988	0.900	0.944	0.999
CENPA	ITGB3BP	9606.ENSP00000336868	9606.ENSP00000360133	0	0	0	0	0.121	0.800	0.500	0.460	0.946
CFB	CFP	9606.ENSP00000416561	9606.ENSP00000247153	0	0	0	0	0.110	0.932	0	0.890	0.992
CFB	CFH	9606.ENSP00000416561	9606.ENSP00000356399	0	0	0	0.550	0.185	0.236	0.900	0.460	0.961
COA6	COX6A2	9606.ENSP00000355574	9606.ENSP00000287490	0	0	0	0	0.366	0.478	0.501	0.482	0.903
COX6A2	COX6B2	9606.ENSP00000287490	9606.ENSP00000467266	0	0	0	0	0.527	0.766	0.526	0.607	0.976
CXCL8	IFNG	9606.ENSP00000306512	9606.ENSP00000229135	0	0	0.281	0	0.152	0	0	0.942	0.961
CXCL8	IL1B	9606.ENSP00000306512	9606.ENSP00000263341	0	0	0	0	0.776	0	0.400	0.962	0.994
CXCL8	CXCR2	9606.ENSP00000306512	9606.ENSP00000319635	0	0	0	0	0.146	0.999	0.900	0.999	0.999
CYP7A1	ENSP00000480571	9606.ENSP00000301645	9606.ENSP00000480571	0	0	0.231	0.562	0	0	0.900	0.212	0.934
DDB1	H4C6	9606.ENSP00000301764	9606.ENSP00000244537	0	0	0	0	0.054	0.901	0	0.319	0.931
DSC1	DSG1	9606.ENSP00000257198	9606.ENSP00000257192	0	0	0	0.645	0.353	0.625	0.500	0.987	0.998
DUOX2	NOX3	9606.ENSP00000373691	9606.ENSP00000159060	0	0	0	0.744	0.044	0	0.540	0.888	0.946
DUOX2	DUOXA2	9606.ENSP00000373691	9606.ENSP00000319705	0	0.026	0.217	0	0.780	0.555	0.900	0.997	0.999
DYNC1I1	DYNLRB2	9606.ENSP00000320130	9606.ENSP00000455791	0	0	0	0	0	0.607	0.720	0.600	0.952
EIF1AY	USP9Y	9606.ENSP00000354722	9606.ENSP00000342812	0	0	0	0	0.999	0	0	0.876	0.999
ENO2	PGK2	9606.ENSP00000437402	9606.ENSP00000305995	0.079	0	0	0	0.659	0.186	0.277	0.680	0.930
ENO2	TALDO1	9606.ENSP00000437402	9606.ENSP00000321259	0	0	0	0	0.297	0	0.800	0.391	0.907
GSDMD	IL1B	9606.ENSP00000433209	9606.ENSP00000263341	0	0	0	0	0.062	0.312	0.500	0.815	0.932
H1-4	H4C6	9606.ENSP00000307705	9606.ENSP00000244537	0	0	0	0	0.381	0.911	0	0.475	0.968
H4C6	KAT2B	9606.ENSP00000244537	9606.ENSP00000263754	0	0	0	0	0	0.929	0.500	0.903	0.996
IFNG	IL1B	9606.ENSP00000229135	9606.ENSP00000263341	0	0	0	0	0.273	0	0	0.997	0.998
IL1B	TNFRSF1B	9606.ENSP00000263341	9606.ENSP00000365435	0	0	0	0	0.198	0	0	0.898	0.914
IL1B	IL1R1	9606.ENSP00000263341	9606.ENSP00000386380	0	0	0	0	0.087	0.960	0.900	0.999	0.999
INPP5F	MTMR4	9606.ENSP00000497527	9606.ENSP00000325285	0	0	0	0	0	0	0.900	0.179	0.914
INPP5F	PLCD4	9606.ENSP00000497527	9606.ENSP00000388631	0	0	0	0	0	0	0.900	0.075	0.903
IP6K1	IP6K3	9606.ENSP00000482032	9606.ENSP00000293756	0	0	0.071	0.937	0.088	0	0.900	0.100	0.913
KIF15	TPX2	9606.ENSP00000324020	9606.ENSP00000300403	0	0	0	0	0.802	0	0	0.749	0.948
MRPL13	MRPL15	9606.ENSP00000306548	9606.ENSP00000260102	0.056	0	0	0	0.767	0.996	0	0.166	0.999
MRPL13	MRPL21	9606.ENSP00000306548	9606.ENSP00000354580	0.115	0	0	0	0.826	0.996	0	0.723	0.999
MRPL15	MRPL21	9606.ENSP00000260102	9606.ENSP00000354580	0.054	0	0	0	0.461	0.939	0	0.163	0.970
MRPL21	RPL17-C18orf32	9606.ENSP00000354580	9606.ENSP00000463379	0	0	0	0	0.805	0.783	0	0.315	0.968
MRPL21	RPL17	9606.ENSP00000354580	9606.ENSP00000463842	0	0	0	0	0.819	0.783	0	0.315	0.970
NT5M	UPP1	9606.ENSP00000373674	9606.ENSP00000330032	0	0	0	0	0	0	0.918	0.328	0.942
NUP93	POM121C	9606.ENSP00000310668	9606.ENSP00000481575	0	0	0	0	0.122	0.748	0.500	0.456	0.931
NUP93	POM121	9606.ENSP00000310668	9606.ENSP00000378687	0	0	0	0	0.109	0.748	0.500	0.626	0.952
POM121	POM121C	9606.ENSP00000378687	9606.ENSP00000481575	0	0	0.047	0.986	0.331	0	0.900	0.046	0.931
PRH1	PRH2	9606.ENSP00000479168	9606.ENSP00000379682	0	0	0	0.984	0	0	0.900	0	0.900
PRM1	TNP1	9606.ENSP00000310515	9606.ENSP00000236979	0	0	0	0	0.109	0	0	0.959	0.961
PSMA8	PSMC4	9606.ENSP00000311121	9606.ENSP00000157812	0.057	0	0	0	0.658	0.934	0	0.467	0.987
RPL17	RPL39L	9606.ENSP00000463842	9606.ENSP00000389356	0	0	0	0	0.674	0.749	0	0.170	0.926
RPL17	RPL17-C18orf32	9606.ENSP00000463842	9606.ENSP00000463379	0	0	0.048	0.984	0	0.800	0.900	0.045	0.979
RPL17-C18orf32	RPL39L	9606.ENSP00000463379	9606.ENSP00000389356	0	0	0	0	0.673	0.749	0	0.170	0.925
SDHAF1	SDHAF3	9606.ENSP00000368165	9606.ENSP00000414066	0	0	0	0	0.049	0.088	0	0.898	0.904
SDHAF3	SDHAF4	9606.ENSP00000414066	9606.ENSP00000359505	0	0	0	0	0.118	0.827	0	0.882	0.980
TNFRSF1B	TRAF1	9606.ENSP00000365435	9606.ENSP00000362994	0	0	0	0	0.145	0.785	0	0.989	0.997
UGT1A1	UGT1A6	9606.ENSP00000304845	9606.ENSP00000303174	0	0	0.055	0.971	0.777	0.994	0	0.061	0.998
UGT1A1	UGT1A4	9606.ENSP00000304845	9606.ENSP00000362508	0	0	0.053	0.974	0.118	0.994	0	0.057	0.994
UGT1A1	UGT1A10	9606.ENSP00000304845	9606.ENSP00000343838	0	0	0.056	0.968	0.241	0.994	0	0.061	0.995
UGT1A1	UGT1A8	9606.ENSP00000304845	9606.ENSP00000362549	0	0	0.056	0.968	0.434	0.994	0	0.061	0.996
UGT1A1	UGT1A9	9606.ENSP00000304845	9606.ENSP00000346768	0	0	0.056	0.969	0.782	0.994	0	0.067	0.998
UGT1A10	UGT1A6	9606.ENSP00000343838	9606.ENSP00000303174	0	0	0.056	0.968	0.109	0.994	0	0.065	0.994
UGT1A10	UGT1A9	9606.ENSP00000343838	9606.ENSP00000346768	0	0	0.048	0.985	0.080	0.994	0	0.055	0.994
UGT1A10	UGT1A4	9606.ENSP00000343838	9606.ENSP00000362508	0	0	0.057	0.967	0.104	0.994	0	0.055	0.994
UGT1A10	UGT1A8	9606.ENSP00000343838	9606.ENSP00000362549	0	0	0.047	0.986	0.257	0.994	0	0.051	0.995
UGT1A4	UGT1A6	9606.ENSP00000362508	9606.ENSP00000303174	0	0	0.056	0.969	0.264	0.994	0	0.068	0.995
UGT1A4	UGT1A9	9606.ENSP00000362508	9606.ENSP00000346768	0	0	0.056	0.969	0.246	0.994	0	0.070	0.995
UGT1A4	UGT1A8	9606.ENSP00000362508	9606.ENSP00000362549	0	0	0.056	0.969	0.086	0.994	0	0.051	0.994
UGT1A6	UGT1A8	9606.ENSP00000303174	9606.ENSP00000362549	0	0	0.056	0.969	0.509	0.994	0	0.063	0.997
UGT1A6	UGT1A9	9606.ENSP00000303174	9606.ENSP00000346768	0	0	0.056	0.969	0.775	0.994	0	0.070	0.998
UGT1A8	UGT1A9	9606.ENSP00000362549	9606.ENSP00000346768	0	0	0.047	0.986	0.538	0.994	0	0.054	0.997
