#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2ML1	DSG1	9606.ENSP00000299698	9606.ENSP00000257192	0	0	0	0	0.130	0	0	0.567	0.608
A2ML1	KLK7	9606.ENSP00000299698	9606.ENSP00000470538	0	0	0	0	0.128	0.123	0	0.802	0.835
ABHD13	PAFAH2	9606.ENSP00000365063	9606.ENSP00000363400	0	0	0	0	0.060	0	0	0.527	0.536
ACSBG2	LVRN	9606.ENSP00000465589	9606.ENSP00000350541	0	0	0	0	0	0	0	0.438	0.438
ACVR2B	MYOD1	9606.ENSP00000340361	9606.ENSP00000250003	0	0	0	0	0.042	0	0	0.487	0.488
ACVR2B	GPRASP1	9606.ENSP00000340361	9606.ENSP00000498934	0	0	0	0	0.050	0.095	0	0.444	0.480
ACVR2B	SMAD5	9606.ENSP00000340361	9606.ENSP00000441954	0	0	0	0	0.086	0.126	0.500	0.622	0.829
ADAMTS18	IRX3	9606.ENSP00000282849	9606.ENSP00000331608	0	0	0	0	0.055	0	0	0.397	0.406
ADAMTS18	CHD7	9606.ENSP00000282849	9606.ENSP00000392028	0	0	0	0	0	0	0	0.427	0.426
ADCYAP1	SCT	9606.ENSP00000462647	9606.ENSP00000176195	0	0	0	0	0	0	0.400	0.931	0.957
ADCYAP1	GNB4	9606.ENSP00000462647	9606.ENSP00000232564	0	0	0	0	0	0	0.500	0.136	0.549
ADCYAP1	SNAP25	9606.ENSP00000462647	9606.ENSP00000254976	0	0	0	0	0.223	0	0	0.306	0.437
ADCYAP1	GRP	9606.ENSP00000462647	9606.ENSP00000256857	0	0	0	0	0.106	0	0	0.557	0.587
ADCYAP1	CBLN2	9606.ENSP00000462647	9606.ENSP00000269503	0	0	0	0	0.166	0	0	0.354	0.439
ADCYAP1	CRH	9606.ENSP00000462647	9606.ENSP00000276571	0	0	0	0	0.133	0	0.400	0.636	0.794
ADCYAP1	SST	9606.ENSP00000462647	9606.ENSP00000287641	0	0	0	0	0.179	0	0	0.600	0.657
ADCYAP1	CARTPT	9606.ENSP00000462647	9606.ENSP00000296777	0	0	0	0	0.200	0	0	0.461	0.551
ADCYAP1	SCG2	9606.ENSP00000462647	9606.ENSP00000304133	0	0	0	0	0.229	0	0	0.370	0.494
ADCYAP1	TAC1	9606.ENSP00000462647	9606.ENSP00000321106	0	0	0	0	0.125	0	0	0.696	0.722
