#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVRL1	HJV	9606.ENSP00000373574	9606.ENSP00000337014	0	0	0	0	0	0.074	0.540	0.518	0.777
ACVRL1	ENG	9606.ENSP00000373574	9606.ENSP00000362299	0	0	0	0	0.274	0.738	0	0.997	0.999
ACVRL1	BMP2	9606.ENSP00000373574	9606.ENSP00000368104	0	0	0	0	0.086	0.457	0.540	0.678	0.916
B4GALNT2	VWF	9606.ENSP00000300404	9606.ENSP00000261405	0	0	0	0	0	0	0	0.725	0.725
BDKRB2	GNA15	9606.ENSP00000450482	9606.ENSP00000262958	0	0	0	0	0	0.115	0.900	0.181	0.921
BMP2	HJV	9606.ENSP00000368104	9606.ENSP00000337014	0	0	0	0	0	0.968	0.720	0.663	0.996
BMP2	CCN2	9606.ENSP00000368104	9606.ENSP00000356954	0	0	0	0	0.101	0	0	0.839	0.849
BMP2	ENG	9606.ENSP00000368104	9606.ENSP00000362299	0	0	0	0	0	0.292	0	0.803	0.854
BMP2	DLX5	9606.ENSP00000368104	9606.ENSP00000498116	0	0	0	0	0.062	0	0.750	0.622	0.903
BRIP1	RMI1	9606.ENSP00000259008	9606.ENSP00000317039	0	0	0	0	0.099	0.071	0.500	0.489	0.757
BTN1A1	PPL	9606.ENSP00000244513	9606.ENSP00000340510	0	0	0	0	0	0.292	0.700	0.562	0.898
C1QB	TYROBP	9606.ENSP00000313967	9606.ENSP00000262629	0	0	0	0	0.544	0	0	0.689	0.852
CARD16	PYCARD	9606.ENSP00000364858	9606.ENSP00000247470	0	0	0	0	0.189	0.094	0	0.667	0.734
CARD16	CASP1	9606.ENSP00000364858	9606.ENSP00000433138	0	0	0.051	0.947	0.773	0.490	0.900	0.525	0.993
CARTPT	MC4R	9606.ENSP00000296777	9606.ENSP00000299766	0	0	0	0	0.107	0	0	0.718	0.737
CASP1	PYCARD	9606.ENSP00000433138	9606.ENSP00000247470	0	0	0	0	0.318	0.983	0.900	0.999	0.999
CASP1	NLRP3	9606.ENSP00000433138	9606.ENSP00000337383	0	0	0	0	0.150	0.307	0.900	0.999	0.999
CASP1	NLRC3	9606.ENSP00000433138	9606.ENSP00000352039	0	0	0	0	0.103	0	0	0.682	0.703
CBR1	UGT2B17	9606.ENSP00000290349	9606.ENSP00000320401	0	0	0	0	0.045	0.067	0.900	0.262	0.925
CCN2	VWF	9606.ENSP00000356954	9606.ENSP00000261405	0	0	0	0	0.049	0	0	0.883	0.884
CCN2	IGFBP7	9606.ENSP00000356954	9606.ENSP00000295666	0	0	0	0	0.216	0	0	0.904	0.921
CDH7	CDH9	9606.ENSP00000381058	9606.ENSP00000231021	0	0	0.048	0.961	0.056	0	0.540	0.415	0.725
CYBA	NCF2	9606.ENSP00000261623	9606.ENSP00000356505	0	0	0	0	0.145	0.292	0.900	0.999	0.999
DKK4	WNT16	9606.ENSP00000220812	9606.ENSP00000222462	0	0	0	0	0.044	0.045	0.650	0.396	0.781
DKK4	WNT7A	9606.ENSP00000220812	9606.ENSP00000285018	0	0	0	0	0.044	0.045	0.650	0.445	0.798
DKK4	WNT5A	9606.ENSP00000220812	9606.ENSP00000264634	0	0	0	0	0	0.045	0.650	0.541	0.833
DOCK2	VAV1	9606.ENSP00000429283	9606.ENSP00000472929	0	0	0	0	0.265	0.292	0	0.555	0.748
E2F5	LIN54	9606.ENSP00000398124	9606.ENSP00000341947	0	0	0	0	0.084	0.345	0.500	0.590	0.860
ENG	VWF	9606.ENSP00000362299	9606.ENSP00000261405	0	0	0	0	0.188	0	0	0.667	0.718
EXOSC7	PNPT1	9606.ENSP00000265564	9606.ENSP00000400646	0	0	0	0	0.147	0	0.900	0.586	0.961
FGG	VWF	9606.ENSP00000336829	9606.ENSP00000261405	0	0	0	0	0	0.046	0.400	0.780	0.863
HCST	VAV1	9606.ENSP00000246551	9606.ENSP00000472929	0	0	0	0	0.186	0	0	0.947	0.955
HCST	TYROBP	9606.ENSP00000246551	9606.ENSP00000262629	0	0	0	0	0.780	0.154	0	0.978	0.995
HJURP	TPX2	9606.ENSP00000414109	9606.ENSP00000300403	0	0	0	0	0.813	0	0	0.447	0.892
IGFBP7	VWF	9606.ENSP00000295666	9606.ENSP00000261405	0	0	0	0	0.098	0	0	0.731	0.746
LCE2B	SPRR1B	9606.ENSP00000357769	9606.ENSP00000306461	0	0	0	0	0.174	0	0.500	0.356	0.710
LST1	TYROBP	9606.ENSP00000365261	9606.ENSP00000262629	0	0	0	0	0.792	0	0	0	0.792
MRNIP	RPL18A	9606.ENSP00000292586	9606.ENSP00000222247	0	0	0	0	0.830	0.839	0	0.291	0.978
MRNIP	RPL10A	9606.ENSP00000292586	9606.ENSP00000363018	0.089	0	0	0	0.680	0.701	0	0.204	0.921
MYH1	MYH4	9606.ENSP00000226207	9606.ENSP00000255381	0	0	0.047	0.987	0.420	0	0.720	0.383	0.891
MYH1	MYH8	9606.ENSP00000226207	9606.ENSP00000384330	0	0	0.047	0.986	0.434	0	0.900	0.053	0.942
MYH1	MYLPF	9606.ENSP00000226207	9606.ENSP00000325239	0	0	0	0	0.701	0.289	0.720	0.615	0.974
MYH4	MYH8	9606.ENSP00000255381	9606.ENSP00000384330	0	0	0.047	0.986	0.372	0.538	0.720	0.054	0.913
MYH4	MYLPF	9606.ENSP00000255381	9606.ENSP00000325239	0	0	0	0	0.241	0.289	0.720	0.504	0.915
MYH8	MYLPF	9606.ENSP00000384330	9606.ENSP00000325239	0	0	0	0	0.336	0.289	0.720	0.448	0.917
NCF2	VAV1	9606.ENSP00000356505	9606.ENSP00000472929	0	0	0	0	0.196	0.069	0.500	0.312	0.708
NLRP3	PYCARD	9606.ENSP00000337383	9606.ENSP00000247470	0	0	0	0	0.067	0.918	0.900	0.999	0.999
PNPT1	RPL10A	9606.ENSP00000400646	9606.ENSP00000363018	0	0	0	0	0.603	0	0.360	0.102	0.752
RAD51AP1	RMI1	9606.ENSP00000228843	9606.ENSP00000317039	0	0	0	0	0.297	0	0.500	0.337	0.746
RHCE	RHD	9606.ENSP00000294413	9606.ENSP00000339577	0	0	0.052	0.977	0.073	0	0	0.832	0.839
RPL10A	RPL18A	9606.ENSP00000363018	9606.ENSP00000222247	0.115	0	0	0	0.960	0.986	0.900	0.545	0.999
SCNN1G	TRPM4	9606.ENSP00000300061	9606.ENSP00000252826	0	0	0	0	0	0	0.720	0.133	0.746
TERB1	TERB2	9606.ENSP00000463762	9606.ENSP00000340644	0	0	0	0	0.067	0.900	0	0.995	0.999
TRIM39	TRIM39-RPP21	9606.ENSP00000365844	9606.ENSP00000485378	0	0	0.046	0.973	0	0.800	0	0.066	0.806
TYROBP	VAV1	9606.ENSP00000262629	9606.ENSP00000472929	0	0	0	0	0.223	0	0	0.644	0.711
WNT16	WNT5A	9606.ENSP00000222462	9606.ENSP00000264634	0	0	0	0.886	0	0.450	0.500	0.112	0.734
WNT16	WNT7A	9606.ENSP00000222462	9606.ENSP00000285018	0	0	0	0.914	0.042	0.164	0.500	0.425	0.738
WNT5A	WNT7A	9606.ENSP00000264634	9606.ENSP00000285018	0	0	0.055	0.923	0	0.443	0.500	0.109	0.734
