#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACVRL1	ENG	9606.ENSP00000373574	9606.ENSP00000362299	0	0	0	0	0.274	0.738	0	0.997	0.999
ACVRL1	BMP2	9606.ENSP00000373574	9606.ENSP00000368104	0	0	0	0	0.086	0.457	0.540	0.678	0.916
BDKRB2	GNA15	9606.ENSP00000450482	9606.ENSP00000262958	0	0	0	0	0	0.115	0.900	0.181	0.921
BMP2	HJV	9606.ENSP00000368104	9606.ENSP00000337014	0	0	0	0	0	0.968	0.720	0.663	0.996
BMP2	DLX5	9606.ENSP00000368104	9606.ENSP00000498116	0	0	0	0	0.062	0	0.750	0.622	0.903
CARD16	CASP1	9606.ENSP00000364858	9606.ENSP00000433138	0	0	0.051	0.947	0.773	0.490	0.900	0.525	0.993
CASP1	PYCARD	9606.ENSP00000433138	9606.ENSP00000247470	0	0	0	0	0.318	0.983	0.900	0.999	0.999
CASP1	NLRP3	9606.ENSP00000433138	9606.ENSP00000337383	0	0	0	0	0.150	0.307	0.900	0.999	0.999
CBR1	UGT2B17	9606.ENSP00000290349	9606.ENSP00000320401	0	0	0	0	0.045	0.067	0.900	0.262	0.925
CCN2	IGFBP7	9606.ENSP00000356954	9606.ENSP00000295666	0	0	0	0	0.216	0	0	0.904	0.921
CYBA	NCF2	9606.ENSP00000261623	9606.ENSP00000356505	0	0	0	0	0.145	0.292	0.900	0.999	0.999
EXOSC7	PNPT1	9606.ENSP00000265564	9606.ENSP00000400646	0	0	0	0	0.147	0	0.900	0.586	0.961
HCST	VAV1	9606.ENSP00000246551	9606.ENSP00000472929	0	0	0	0	0.186	0	0	0.947	0.955
HCST	TYROBP	9606.ENSP00000246551	9606.ENSP00000262629	0	0	0	0	0.780	0.154	0	0.978	0.995
MRNIP	RPL18A	9606.ENSP00000292586	9606.ENSP00000222247	0	0	0	0	0.830	0.839	0	0.291	0.978
MRNIP	RPL10A	9606.ENSP00000292586	9606.ENSP00000363018	0.089	0	0	0	0.680	0.701	0	0.204	0.921
MYH1	MYH8	9606.ENSP00000226207	9606.ENSP00000384330	0	0	0.047	0.986	0.434	0	0.900	0.053	0.942
MYH1	MYLPF	9606.ENSP00000226207	9606.ENSP00000325239	0	0	0	0	0.701	0.289	0.720	0.615	0.974
MYH4	MYH8	9606.ENSP00000255381	9606.ENSP00000384330	0	0	0.047	0.986	0.372	0.538	0.720	0.054	0.913
MYH4	MYLPF	9606.ENSP00000255381	9606.ENSP00000325239	0	0	0	0	0.241	0.289	0.720	0.504	0.915
MYH8	MYLPF	9606.ENSP00000384330	9606.ENSP00000325239	0	0	0	0	0.336	0.289	0.720	0.448	0.917
NLRP3	PYCARD	9606.ENSP00000337383	9606.ENSP00000247470	0	0	0	0	0.067	0.918	0.900	0.999	0.999
RPL10A	RPL18A	9606.ENSP00000363018	9606.ENSP00000222247	0.115	0	0	0	0.960	0.986	0.900	0.545	0.999
TERB1	TERB2	9606.ENSP00000463762	9606.ENSP00000340644	0	0	0	0	0.067	0.900	0	0.995	0.999
