#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIM2	CASP5	9606.ENSP00000357112	9606.ENSP00000376849	0	0	0	0	0.180	0	0.900	0.884	0.989
CACNG3	GRIA1	9606.ENSP00000005284	9606.ENSP00000428994	0	0	0	0	0.161	0.305	0.720	0.285	0.867
CCK	SST	9606.ENSP00000379472	9606.ENSP00000287641	0	0	0	0	0.188	0	0	0.921	0.933
CCK	TAC1	9606.ENSP00000379472	9606.ENSP00000321106	0	0	0	0	0.141	0	0.400	0.858	0.920
CCK	PTK7	9606.ENSP00000379472	9606.ENSP00000418754	0	0	0	0	0	0	0	0.923	0.923
CCNB2	PRC1	9606.ENSP00000288207	9606.ENSP00000377793	0	0	0	0	0.824	0.128	0	0.554	0.925
CCNB2	CENPA	9606.ENSP00000288207	9606.ENSP00000336868	0	0	0	0	0.832	0.047	0.400	0.772	0.975
CD38	FCGR1A	9606.ENSP00000226279	9606.ENSP00000358165	0	0	0	0	0.072	0	0	0.752	0.760
CD38	LOC102723407	9606.ENSP00000226279	9606.ENSP00000478289	0	0	0	0	0	0	0	0.794	0.794
CD3D	KLRB1	9606.ENSP00000300692	9606.ENSP00000229402	0	0	0	0	0.524	0.045	0	0.627	0.815
CD72	CD79B	9606.ENSP00000259633	9606.ENSP00000376544	0	0	0.246	0	0.415	0	0	0.586	0.801
CD79B	LOC102723407	9606.ENSP00000376544	9606.ENSP00000478289	0	0	0	0	0.055	0	0.540	0.891	0.948
CD79B	IGHD	9606.ENSP00000376544	9606.ENSP00000478893	0	0	0	0	0	0.895	0.540	0.330	0.964
CENPA	LMNB1	9606.ENSP00000336868	9606.ENSP00000261366	0	0	0	0	0.296	0.073	0	0.578	0.701
CENPA	H2AB2	9606.ENSP00000336868	9606.ENSP00000346509	0	0	0	0	0.128	0.207	0	0.609	0.706
CENPA	PRC1	9606.ENSP00000336868	9606.ENSP00000377793	0	0	0	0	0.655	0.072	0	0.346	0.772
CENPA	H2AB1	9606.ENSP00000336868	9606.ENSP00000484261	0	0	0	0	0.128	0.207	0.500	0.560	0.827
CENPA	INCENP	9606.ENSP00000336868	9606.ENSP00000378295	0	0	0	0	0.279	0.164	0	0.793	0.865
CENPA	H3C12	9606.ENSP00000336868	9606.ENSP00000352252	0	0	0.085	0.901	0.060	0.852	0	0.429	0.917
COL4A1	COL5A2	9606.ENSP00000364979	9606.ENSP00000364000	0	0	0.097	0.693	0.480	0	0.400	0.731	0.914
CPB1	CPB2	9606.ENSP00000417222	9606.ENSP00000181383	0	0	0.085	0.910	0.049	0	0.900	0.420	0.942
CYP27B1	GC	9606.ENSP00000228606	9606.ENSP00000421725	0	0	0	0	0.055	0	0	0.856	0.858
CYP3A7	ENSP00000480571	9606.ENSP00000337450	9606.ENSP00000480571	0	0	0.047	0.987	0	0.051	0.905	0.079	0.911
CYP4F2	CYP4F3	9606.ENSP00000221700	9606.ENSP00000221307	0	0	0.049	0.983	0.775	0	0.900	0.057	0.977
DDC	GOT1	9606.ENSP00000403644	9606.ENSP00000359539	0	0	0	0	0.120	0	0.900	0.278	0.931
