#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AIM2	CASP5	9606.ENSP00000357112	9606.ENSP00000376849	0	0	0	0	0.180	0	0.900	0.884	0.989
CCK	SST	9606.ENSP00000379472	9606.ENSP00000287641	0	0	0	0	0.188	0	0	0.921	0.933
CCK	TAC1	9606.ENSP00000379472	9606.ENSP00000321106	0	0	0	0	0.141	0	0.400	0.858	0.920
CCK	PTK7	9606.ENSP00000379472	9606.ENSP00000418754	0	0	0	0	0	0	0	0.923	0.923
CCNB2	PRC1	9606.ENSP00000288207	9606.ENSP00000377793	0	0	0	0	0.824	0.128	0	0.554	0.925
CCNB2	CENPA	9606.ENSP00000288207	9606.ENSP00000336868	0	0	0	0	0.832	0.047	0.400	0.772	0.975
CD79B	LOC102723407	9606.ENSP00000376544	9606.ENSP00000478289	0	0	0	0	0.055	0	0.540	0.891	0.948
CD79B	IGHD	9606.ENSP00000376544	9606.ENSP00000478893	0	0	0	0	0	0.895	0.540	0.330	0.964
CENPA	H3C12	9606.ENSP00000336868	9606.ENSP00000352252	0	0	0.085	0.901	0.060	0.852	0	0.429	0.917
COL4A1	COL5A2	9606.ENSP00000364979	9606.ENSP00000364000	0	0	0.097	0.693	0.480	0	0.400	0.731	0.914
CPB1	CPB2	9606.ENSP00000417222	9606.ENSP00000181383	0	0	0.085	0.910	0.049	0	0.900	0.420	0.942
CYP3A7	ENSP00000480571	9606.ENSP00000337450	9606.ENSP00000480571	0	0	0.047	0.987	0	0.051	0.905	0.079	0.911
CYP4F2	CYP4F3	9606.ENSP00000221700	9606.ENSP00000221307	0	0	0.049	0.983	0.775	0	0.900	0.057	0.977
DDC	GOT1	9606.ENSP00000403644	9606.ENSP00000359539	0	0	0	0	0.120	0	0.900	0.278	0.931
E2F2	RBL1	9606.ENSP00000355249	9606.ENSP00000362768	0	0	0	0	0.099	0.740	0.900	0.389	0.983
F10	F9	9606.ENSP00000364709	9606.ENSP00000218099	0	0	0.082	0.915	0.143	0	0.900	0.476	0.953
FCGR1A	LOC102723407	9606.ENSP00000358165	9606.ENSP00000478289	0	0	0	0	0	0	0.900	0.260	0.922
GC	HP	9606.ENSP00000421725	9606.ENSP00000348170	0	0	0	0	0.255	0.238	0	0.848	0.906
GTF2H3	POLR2J	9606.ENSP00000445162	9606.ENSP00000292614	0	0	0	0	0.054	0.897	0.500	0.084	0.949
H2AB2	H3C12	9606.ENSP00000346509	9606.ENSP00000352252	0	0	0	0	0.128	0.914	0	0.450	0.955
HP	HPR	9606.ENSP00000348170	9606.ENSP00000441828	0	0	0.049	0.982	0.906	0.432	0	0.385	0.964
HPRT1	PDE9A	9606.ENSP00000298556	9606.ENSP00000291539	0	0	0	0	0	0	0.900	0.086	0.904
MRPS15	MRPS16	9606.ENSP00000362208	9606.ENSP00000362036	0.061	0	0	0	0.841	0.993	0.900	0.591	0.999
NELL1	ROBO3	9606.ENSP00000298925	9606.ENSP00000380903	0	0	0	0	0	0.919	0	0.125	0.926
POLR2J	POLR2J3	9606.ENSP00000292614	9606.ENSP00000483328	0	0	0.050	0.980	0	0	0.900	0.052	0.902
POLR2J	POLR2J2	9606.ENSP00000292614	9606.ENSP00000330898	0	0	0.050	0.980	0.055	0.192	0.900	0.052	0.918
POLR2J2	POLR2J3	9606.ENSP00000330898	9606.ENSP00000483328	0	0	0.048	0.984	0	0	0.900	0	0.900
RPA3	RPA4	9606.ENSP00000223129	9606.ENSP00000362131	0	0	0	0	0.323	0.737	0.900	0.996	0.999
RPS4Y1	USP9Y	9606.ENSP00000250784	9606.ENSP00000342812	0	0	0	0	0.793	0	0	0.801	0.957
SST	TAC1	9606.ENSP00000287641	9606.ENSP00000321106	0	0	0	0	0.210	0	0	0.961	0.968
ST3GAL1	ST6GALNAC5	9606.ENSP00000428540	9606.ENSP00000417583	0	0	0.151	0.588	0	0	0.900	0.221	0.928
TEAD3	WWTR1	9606.ENSP00000345772	9606.ENSP00000419465	0	0	0	0	0.083	0.880	0.900	0.583	0.994
