#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACOT4	ACOT7	9606.ENSP00000323071	9606.ENSP00000367086	0	0	0	0	0.072	0	0.900	0.461	0.945
ACTA1	VASP	9606.ENSP00000355645	9606.ENSP00000245932	0	0	0	0	0.067	0.900	0	0.982	0.998
ACTA1	ACTN2	9606.ENSP00000355645	9606.ENSP00000355537	0	0	0	0	0.453	0.125	0	0.818	0.905
ACTA1	MYO10	9606.ENSP00000355645	9606.ENSP00000421280	0	0	0	0	0	0.904	0	0.138	0.914
ACTA1	LCP1	9606.ENSP00000355645	9606.ENSP00000381581	0	0	0	0	0.067	0.967	0	0.137	0.971
ACTN2	TCAP	9606.ENSP00000355537	9606.ENSP00000312624	0	0	0	0	0.448	0	0.500	0.899	0.969
ADCY1	CNR1	9606.ENSP00000297323	9606.ENSP00000358513	0	0	0	0	0.083	0	0.900	0.125	0.912
ADCY2	CNR1	9606.ENSP00000342952	9606.ENSP00000358513	0	0	0	0	0.083	0	0.900	0.094	0.909
ADCYAP1	VIPR1	9606.ENSP00000462647	9606.ENSP00000327246	0	0	0	0	0	0.911	0.400	0.999	0.999
ADCYAP1	GNG2	9606.ENSP00000462647	9606.ENSP00000334448	0	0	0	0	0.095	0.800	0.500	0	0.901
ADRA1B	ADRA1D	9606.ENSP00000306662	9606.ENSP00000368766	0	0	0	0.930	0.099	0.292	0.900	0.301	0.949
AHI1	B9D1	9606.ENSP00000265602	9606.ENSP00000261499	0	0	0	0	0.049	0.154	0.800	0.871	0.976
AKAP5	ROBO2	9606.ENSP00000378207	9606.ENSP00000417335	0	0	0	0	0.042	0	0.900	0.078	0.903
ALB	LTF	9606.ENSP00000295897	9606.ENSP00000231751	0	0	0	0	0.115	0	0	0.996	0.996
ALB	C3	9606.ENSP00000295897	9606.ENSP00000245907	0	0	0	0	0.127	0.094	0	0.953	0.959
ALB	CP	9606.ENSP00000295897	9606.ENSP00000264613	0	0	0	0	0.113	0	0	0.931	0.936
ALB	SERPINA3	9606.ENSP00000295897	9606.ENSP00000450540	0	0	0	0	0.154	0.065	0	0.900	0.914
ALB	PXDNL	9606.ENSP00000295897	9606.ENSP00000348645	0	0	0	0	0.074	0	0	0.934	0.937
ALKBH1	ALKBH6	9606.ENSP00000216489	9606.ENSP00000368152	0	0	0	0	0.069	0	0	0.953	0.954
AMPH	SH3GL2	9606.ENSP00000348602	9606.ENSP00000369981	0	0	0	0	0.149	0.354	0	0.883	0.930
ANGPT1	FLT1	9606.ENSP00000428340	9606.ENSP00000282397	0	0	0	0	0.062	0.115	0.650	0.952	0.984
ANGPT1	ANGPT2	9606.ENSP00000428340	9606.ENSP00000314897	0	0	0.048	0.960	0.043	0	0.900	0.234	0.920
ANGPT2	FLT1	9606.ENSP00000314897	9606.ENSP00000282397	0	0	0	0	0.258	0.115	0.650	0.936	0.983
APLNR	GNG13	9606.ENSP00000475344	9606.ENSP00000248150	0	0	0	0	0.074	0.120	0.900	0	0.911
APLNR	GNG3	9606.ENSP00000475344	9606.ENSP00000294117	0	0	0	0	0.074	0.120	0.900	0	0.911
APLNR	GNG2	9606.ENSP00000475344	9606.ENSP00000334448	0	0	0	0	0	0.120	0.900	0.076	0.911
ATL1	REEP1	9606.ENSP00000351155	9606.ENSP00000392197	0	0	0	0	0.074	0.087	0	0.981	0.983
ATP1A3	ATP1B1	9606.ENSP00000444688	9606.ENSP00000356790	0	0	0	0	0.099	0.822	0.900	0.921	0.998
ATP6V1E1	TCIRG1	9606.ENSP00000253413	9606.ENSP00000265686	0.095	0	0	0	0.596	0.804	0.718	0.735	0.993
ATP6V1E1	ATP6V1G2	9606.ENSP00000253413	9606.ENSP00000302194	0	0	0	0	0.204	0.953	0.720	0.837	0.998
ATP6V1G2	TCIRG1	9606.ENSP00000302194	9606.ENSP00000265686	0	0	0	0	0.063	0.689	0.540	0.709	0.956
BAG3	HSPB1	9606.ENSP00000358081	9606.ENSP00000248553	0	0	0	0	0.291	0.785	0	0.882	0.980
BAG3	CRYAB	9606.ENSP00000358081	9606.ENSP00000433560	0	0	0	0	0.075	0.562	0	0.874	0.944
BAG3	HSPA1B	9606.ENSP00000358081	9606.ENSP00000364801	0	0	0	0	0.277	0.875	0.400	0.728	0.983
BATF	FOS	9606.ENSP00000286639	9606.ENSP00000306245	0	0	0	0.740	0.044	0	0.400	0.865	0.915
BIRC3	TNFAIP3	9606.ENSP00000263464	9606.ENSP00000481570	0	0	0	0	0.487	0.292	0.500	0.595	0.916
BIRC3	UBE2N	9606.ENSP00000263464	9606.ENSP00000316176	0	0	0	0	0.065	0.537	0.400	0.838	0.952
BTC	EGFR	9606.ENSP00000379092	9606.ENSP00000275493	0	0	0	0	0.086	0.684	0.900	0.995	0.999
C1QA	C1QB	9606.ENSP00000363773	9606.ENSP00000313967	0	0	0.104	0.855	0.999	0.980	0.900	0.984	0.999
C1QA	C1QC	9606.ENSP00000363773	9606.ENSP00000363770	0	0	0.117	0.819	0.999	0.972	0.900	0.984	0.999
C1QA	VSIG4	9606.ENSP00000363773	9606.ENSP00000363869	0	0	0	0	0.930	0	0	0.613	0.971
C1QA	C4B	9606.ENSP00000363773	9606.ENSP00000415941	0	0	0	0	0.171	0	0.900	0.690	0.972
C1QA	C4A	9606.ENSP00000363773	9606.ENSP00000396688	0	0	0	0	0.171	0	0.900	0.822	0.983
C1QB	VSIG4	9606.ENSP00000313967	9606.ENSP00000363869	0	0	0	0	0.940	0	0	0.390	0.961
C1QB	C4B	9606.ENSP00000313967	9606.ENSP00000415941	0	0	0	0	0.120	0	0.900	0.679	0.969
C1QB	C4A	9606.ENSP00000313967	9606.ENSP00000396688	0	0	0	0	0.109	0	0.900	0.728	0.973
C1QB	C1QC	9606.ENSP00000313967	9606.ENSP00000363770	0	0	0.077	0.925	0.999	0.928	0.900	0.983	0.999
C1QC	VSIG4	9606.ENSP00000363770	9606.ENSP00000363869	0	0	0	0	0.920	0	0	0.323	0.943
C1QC	C4B	9606.ENSP00000363770	9606.ENSP00000415941	0	0	0	0	0.169	0	0.900	0.640	0.967
C1QC	C4A	9606.ENSP00000363770	9606.ENSP00000396688	0	0	0	0	0.167	0	0.900	0.701	0.972
C3	C5AR1	9606.ENSP00000245907	9606.ENSP00000347197	0	0	0	0	0.065	0	0.500	0.955	0.977
C3	ITGB2	9606.ENSP00000245907	9606.ENSP00000380948	0	0	0	0	0.074	0.292	0.900	0.980	0.998
C3	C4A	9606.ENSP00000245907	9606.ENSP00000396688	0	0	0	0.741	0.174	0	0.900	0.987	0.998
C3	C4B	9606.ENSP00000245907	9606.ENSP00000415941	0	0	0	0.744	0.148	0	0.900	0.986	0.998
C3	CFD	9606.ENSP00000245907	9606.ENSP00000468253	0	0	0	0	0.081	0.817	0.900	0.944	0.998
C3	VSIG4	9606.ENSP00000245907	9606.ENSP00000363869	0	0	0	0	0.087	0.937	0	0.998	0.999
C4A	C5AR1	9606.ENSP00000396688	9606.ENSP00000347197	0	0	0	0	0	0	0	0.980	0.980
C4A	C4B	9606.ENSP00000396688	9606.ENSP00000415941	0	0	0.046	0.988	0.819	0.623	0.900	0.982	0.999
C5AR1	TLR2	9606.ENSP00000347197	9606.ENSP00000260010	0	0	0	0	0.236	0	0	0.903	0.922
CACNG1	CACNG3	9606.ENSP00000226021	9606.ENSP00000005284	0	0.007	0	0	0.044	0	0.720	0.914	0.974
CALB1	PVALB	9606.ENSP00000265431	9606.ENSP00000216200	0	0	0	0	0.082	0	0	0.962	0.964
CAMK4	CAMKK2	9606.ENSP00000282356	9606.ENSP00000312741	0	0	0.134	0.641	0.061	0.184	0.900	0.304	0.945
CAMK4	CAMKK1	9606.ENSP00000282356	9606.ENSP00000371188	0	0	0.123	0.638	0.060	0.178	0.900	0.337	0.947
CAMKK1	CAMKK2	9606.ENSP00000371188	9606.ENSP00000312741	0	0	0.064	0.953	0.073	0	0.900	0.068	0.908
