#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTG1	PFN1	9606.ENSP00000458162	9606.ENSP00000225655	0	0	0	0	0.252	0.301	0.900	0.871	0.992
ACTG1	CDH1	9606.ENSP00000458162	9606.ENSP00000261769	0	0	0	0	0.061	0.312	0	0.226	0.457
ACTG1	SMARCD3	9606.ENSP00000458162	9606.ENSP00000262188	0	0	0	0	0.084	0.184	0.800	0.090	0.845
ACTG1	FMN2	9606.ENSP00000458162	9606.ENSP00000318884	0	0	0	0	0.054	0.285	0	0.234	0.437
ACTG1	PKM	9606.ENSP00000458162	9606.ENSP00000320171	0	0	0	0	0.195	0.053	0	0.310	0.428
ACTG1	TPM3	9606.ENSP00000458162	9606.ENSP00000498577	0	0	0	0	0.235	0.192	0	0.616	0.742
AGT	CTSD	9606.ENSP00000355627	9606.ENSP00000236671	0	0	0	0	0.052	0	0.750	0.648	0.909
AGT	SMARCD3	9606.ENSP00000355627	9606.ENSP00000262188	0	0	0	0	0.067	0	0.400	0.051	0.422
AGT	VCAM1	9606.ENSP00000355627	9606.ENSP00000294728	0	0	0	0	0.084	0	0	0.670	0.685
AGT	DDAH2	9606.ENSP00000355627	9606.ENSP00000364949	0	0	0	0	0	0	0	0.445	0.445
ATP6V0C	ATP6V0D1	9606.ENSP00000329757	9606.ENSP00000290949	0.086	0	0	0	0.676	0.992	0.935	0.842	0.999
ATP6V0C	PKM	9606.ENSP00000329757	9606.ENSP00000320171	0.053	0	0	0	0.095	0	0	0.477	0.513
ATP6V0C	RPL26L1	9606.ENSP00000329757	9606.ENSP00000428223	0.053	0	0	0	0.381	0	0	0.064	0.403
ATP6V0C	RPS16	9606.ENSP00000329757	9606.ENSP00000367806	0.053	0	0	0	0.399	0	0	0.181	0.493
ATP6V0C	RPS20	9606.ENSP00000329757	9606.ENSP00000429374	0.056	0	0	0	0.413	0	0	0.241	0.542
ATP6V0C	NDUFS2	9606.ENSP00000329757	9606.ENSP00000356972	0.100	0	0	0	0.302	0	0	0.390	0.584
ATP6V0C	RPL5	9606.ENSP00000329757	9606.ENSP00000359345	0.069	0	0	0	0.602	0	0	0.091	0.634
ATP6V0C	RPL23	9606.ENSP00000329757	9606.ENSP00000420311	0.057	0	0	0	0.618	0	0	0.349	0.745
ATP6V0D1	CTSD	9606.ENSP00000290949	9606.ENSP00000236671	0	0	0	0	0.249	0	0	0.309	0.459
ATP6V0D1	RAB7A	9606.ENSP00000290949	9606.ENSP00000265062	0	0	0	0	0.167	0.309	0	0.277	0.548
CALCOCO1	TEX264	9606.ENSP00000449960	9606.ENSP00000396628	0	0	0	0	0.060	0	0	0.668	0.674
CASP2	VCAM1	9606.ENSP00000312664	9606.ENSP00000294728	0	0	0.246	0	0.086	0	0	0.403	0.552
CCNF	PFN1	9606.ENSP00000380256	9606.ENSP00000225655	0	0	0	0	0.045	0.166	0	0.382	0.465
CDH1	RPL19	9606.ENSP00000261769	9606.ENSP00000225430	0	0	0	0	0	0.800	0	0.154	0.823
CDH1	RPS12	9606.ENSP00000261769	9606.ENSP00000230050	0	0	0	0	0	0.801	0	0	0.801
CDH1	TRIOBP	9606.ENSP00000261769	9606.ENSP00000496394	0	0	0	0	0	0	0	0.415	0.414
CDH1	CDKN2B	9606.ENSP00000261769	9606.ENSP00000276925	0	0	0	0	0	0.046	0	0.447	0.449
CDH1	PKM	9606.ENSP00000261769	9606.ENSP00000320171	0	0	0	0	0	0.083	0	0.431	0.456
CDH1	VCAM1	9606.ENSP00000261769	9606.ENSP00000294728	0	0	0	0	0.043	0	0	0.479	0.480
CDH1	SPINT1	9606.ENSP00000261769	9606.ENSP00000342098	0	0	0	0	0.299	0	0	0.322	0.504
CDH1	CRB3	9606.ENSP00000261769	9606.ENSP00000349204	0	0	0	0	0.215	0	0	0.475	0.571
CDH1	RPL23	9606.ENSP00000261769	9606.ENSP00000420311	0	0	0	0	0	0.800	0	0	0.800
